user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
ChefSam,Sunshine State,Culinarian | Hot Sauce Artisan | Kombucha Brewer | Nature Lover | Runner | #BITCOIN | 🧡💜 Nostr: npub1zfxzty3up9zmn3ky3se49vg6km69murefh480246retaevwq,3/23/2011 3:50,4680,2643,6232,FALSE,3/1/2023 23:59,Which #bitcoin books should I think about reading next? https://t.co/32gas26rKB,['bitcoin'],Twitter for iPhone,FALSE
Roy⚡️,,Truth-seeking pleb 📚 • Science 🧪 • Nature 🌱☀️ • 🌽 stacker • Freedom 🦅 • Dad 👨‍🍼🧡,1/30/2022 17:41,770,1145,9166,FALSE,3/1/2023 23:59,"@ThankGodForBTC I appreciate the message, but not a fan of the religious references. Religion has nothing to do with #Bitcoin.",['Bitcoin'],Twitter for iPhone,FALSE
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",7/24/2022 4:50,576,1,0,FALSE,3/1/2023 23:59,"#Ethereum price update: 

#ETH $1664.02 USD
#Bitcoin 0.070428 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,FALSE
Viction,"Paris, France","https://t.co/8M3rgdjwEe

#bitcoin #blockchain #crypto #LSTM #prediction #machinelearning",3/26/2010 10:15,236,1829,2195,FALSE,3/1/2023 23:59,"CoinDashboard v3.0 is here
Available on ios and Android
#Bitcoin https://t.co/tMCQllv9rj",['Bitcoin'],Twitter for Android,FALSE
Rosie,London,"The flower language of jasmine is loyalty, respect, purity, chastity, simplicity, exquisiteness and charm. It is the flower of love in some countries",2/16/2013 9:57,12731,46,134,FALSE,3/1/2023 23:59,"#Bitcoin Short Term Fractal (4H)💥

In lower timeframe, #BTC price action seems to be repeating itself while LMACD is reproducing the same sequence. 🫡 https://t.co/2MG9yL7SDa","['Bitcoin', 'BTC']",Twitter Web App,FALSE
AkinHack,United States,Professional Recovery Services | •Crypto | •iCloud ID | •Instagram | Snapchat | DM 247| •Account Recovery | •iMessage | spying | Follow and Inbox Me | •NotFree,11/8/2014 4:50,197,48,13,FALSE,3/1/2023 23:59,Y’all Message me for any account recovery or hacking #CYBER #security #Coinbase #Bitcoin #BNB #facebook #snapchat #instagram.,"['CYBER', 'security', 'Coinbase', 'Bitcoin', 'BNB', 'facebook', 'snapchat', 'instagram']",Twitter for Android,FALSE
CAIR (Pump/Dump),,CAIR is a smart method to find PUMP/DUMP using the latest advanced AI techniques (not investment advice). PUMP-DUMP results https://t.co/9FJGx30Qlr,8/30/2021 18:15,5976,1,107,FALSE,3/1/2023 23:59,"PUMP : 4-Hour Chart (1x!) (NORMAL)
Coin    : #FILUSDT
 
Entry   : 7.17
R1        : 8.17 (% 12.2)
R2       : 9.22 (% 22.2)
S1        : 6.86 (% -4.3)
 
Time   : 01/03/2023 23:59 (UTC)
Chart  : https://t.co/zKtYat6duH
 
#FIL #Bitcoin $FIL","['FILUSDT', 'FIL', 'Bitcoin']",BinanceTW,FALSE
NFTevening,👇 Join 25k+ NFT Enthusiasts ,"The best newsletter for NFT, Metaverse, and Blockchain Games. | Contributing to the widespread adoption of NFTs! | 💟 Subscribe https://t.co/FKeDZV8y8J",5/10/2021 15:24,26940,2050,12198,FALSE,3/1/2023 23:59,"📰TwelveFold by @yugalabs Unveils Unique #Bitcoin Collection

🟣The Yuga Labs team has created an exciting limited-edition collection of only 300 generative pieces.

🟣Each piece is inscribed on satoshis on the Bitcoin blockchain, making them truly unique and collectible.

#NFTs https://t.co/UqSa1MkQiJ","['Bitcoin', 'NFTs']",Hypefury,FALSE
AbdeL,,#sol #NFT,1/26/2022 19:24,792,75,409,FALSE,3/1/2023 23:59,@BitcoinBullsNFT The first my #NFT in  #Bitcoin https://t.co/hO6t69frCZ,"['NFT', 'Bitcoin']",Twitter Web App,FALSE
PUBLORD,probably down at the pub,TOXIC HAPPY HOUR!  #Spaceshost  || M-F 2-4 w/ @Anders_  ||  #Bitcoin  ||  THH Pleb Party in Miami May 18th!,12/28/2013 18:30,22414,3225,63945,FALSE,3/1/2023 23:59,Your first #Bitcoin Halving will age and humble at the same time.  😉😂 https://t.co/U6JwlLNlMg,['Bitcoin'],Twitter for Android,FALSE
Bitcoin Candle Bot,Brazil,"Robot that posts the closure of the bitcoin daily candle, written by @coinsamba",1/6/2021 1:36,40,4,1,FALSE,3/1/2023 23:59,"Candle of day 01/03/2023 closed.

Open: $ 23,130.94
High: $ 23,906.02
Low: $ 23,042.67
Close: $ 23,635.96

Change: +2.14%

#Bitcoin #Candle #BullMarket","['Bitcoin', 'Candle', 'BullMarket']",Bitcoin Candle Bot,FALSE
FYC crypto | Sharing Information And Learning,,,3/1/2023 10:13,6,23,1,FALSE,3/1/2023 23:58,"UBS Strategists Predict Minimal Impact of Upcoming Mt Gox Payouts on Bitcoin Value
https://t.co/yiahg9lmOe
#BTC #Bitcoin https://t.co/f98xNLYVv6","['BTC', 'Bitcoin']",Twitter Web App,FALSE
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",7/24/2022 4:50,576,1,0,FALSE,3/1/2023 23:58,"#Ethereum price update: 

#ETH $1665.06 USD
#Bitcoin 0.07041649538947164 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,FALSE
BNB Price Tracker,,#BNB #BNBTracker #BinanceCoin #Binance,7/11/2022 5:24,492,5,0,FALSE,3/1/2023 23:58,"#BinanceCoin price update: $BNB

#BNB $302.75 USD

#Bitcoin 0.0128 BTC

#Ethereum 0.18183 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates","['BinanceCoin', 'BNB', 'Bitcoin', 'Ethereum', 'altcoin', 'crypto', 'cryptocurrency']",Twitter Web App,FALSE
☣️ Hugo SuperMaxi ⚡️💎🙌🇸🇻 ∞/21M,In your head,"#Bitcoin miner/investor. CEO @ FYouMoney! Podcast @FYouMoneyPod and FYouMoney! wallet. Follow my relentless search for freedom, the universe, and everything!",9/18/2020 16:50,3307,476,9782,FALSE,3/1/2023 23:58,@stacyherbert My tweets about #Bitcoin⚡️and #ElSalvador.,"['Bitcoin', 'ElSalvador']",Twitter Web App,FALSE
Navid Nassiri,Metaverse,I'm just trying to do my part in making the world a better place. #DeFi #web3 #blockchain #crypto #cryptocurrency #btc #eth #bahai,6/17/2009 15:05,3917,554,325,FALSE,3/1/2023 23:58,"Shiba Inu Army Gets Excited On Wallet Provider News, Here’s Why  https://t.co/50hMWZk1Qj #crypto #cryptocurrency #blockchain #bitcoin #ethereum #antifud #fightfomo https://t.co/ykyUJLGZTn","['crypto', 'cryptocurrency', 'blockchain', 'bitcoin', 'ethereum', 'antifud', 'fightfomo']",Zapier.com,FALSE
Bigwin freetag,"DKI Jakarta, Indonesia","🔥#Pickaw #Sorteos #Crypto #Giveaway #Freetag #Win #Bigwin #BNB #BTC #ETH🔥
Akun @/bayuhunter41 suspended ,saya juga pakai data dan wifi,pleass don't rerrol 🙏",2/1/2023 12:17,107,1540,2501,FALSE,3/1/2023 23:58,@SirKunt @PtpWallet #Bitcoin for longterm is good 👍🔥,['Bitcoin'],Twitter for Android,FALSE
Q.E.D,,"#QED #CryptoNews is for the people who love the future of finance. Please, Follow, Get the last news update and share it if you like.#Cryptocurrency #Blockchain",9/3/2009 9:34,714,4888,2340,FALSE,3/1/2023 23:57,"#Bitcoin is back in the black! #BullSignal means we're seeing a massive resurgence in the price, last at around $25,000. Time to get onboard the BTC train! #Crypto","['Bitcoin', 'BullSignal', 'Crypto']",Q.E.D CryptoNews,FALSE
AkinHack,United States,Professional Recovery Services | •Crypto | •iCloud ID | •Instagram | Snapchat | DM 247| •Account Recovery | •iMessage | spying | Follow and Inbox Me | •NotFree,11/8/2014 4:50,197,48,13,FALSE,3/1/2023 23:57,Y’all Message me for any account recovery or hacking #CYBER #security #Coinbase #Bitcoin #BNB.,"['CYBER', 'security', 'Coinbase', 'Bitcoin', 'BNB']",Twitter for Android,FALSE
