user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Jon Regenold,"San Diego, CA. 92109",Trip Dawg of Klownacide #CameraGang ($7190=29.463%#Bitcoin) ($1890)=#AltCoins) ($54856=#Stocks) 🤑https://t.co/uXYQ0pM1uh,3/29/2009 23:46,59913,15799,2074,FALSE,3/4/2023 2:11,My Crypto Currency Portfolio today on a $9080 net investment. Has a balance of $8172.18 a loss of -$907.82 (-10.0%) 👀 includes $BTC $ETH #StocksAndCryptos 📈🚀🌕 #Bitcoin           #Altcoins https://t.co/ROPlJGYXZO,"['StocksAndCryptos', 'Bitcoin', 'Altcoins']",Twitter for Android,FALSE
BNB Price Tracker,,#BNB #BNBTracker #BinanceCoin #Binance,7/11/2022 5:24,484,5,0,FALSE,3/4/2023 2:11,"#BinanceCoin price update: $BNB

#BNB $290.54 USD

#Bitcoin 0.013 BTC

#Ethereum 0.18476 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates","['BinanceCoin', 'BNB', 'Bitcoin', 'Ethereum', 'altcoin', 'crypto', 'cryptocurrency']",Twitter Web App,FALSE
Mbuso Nation,"Johannesburg, South Africa",I keep my cup empty,3/22/2020 9:22,48,520,80,FALSE,3/4/2023 2:11,"@TheCryptoLark They fail to understand that this is a ploy to shake you, giving in to fear just means you were never meant for it in the first place. They can’t stop #Bitcoin. @CryptoGuruTA strongly advised that when it’s all wrong and you feel fear, that moment is the time to buy even more.",['Bitcoin'],Twitter for iPhone,FALSE
Ewatomi gold,,,7/22/2012 6:43,10,29,14,FALSE,3/4/2023 2:11,@angelrebong @CryptoCred @WatcherGuru Fantastic news! #Bitcoin’s Web3 development will help lay the foundation for more tech-focused economic growth and decentralization. Here's to continued success in 2020! 🚀 @cryptocred  @WatcherGuru,['Bitcoin'],Twitter Web App,FALSE
wolf,Metaverse,I'm one of the few Crypto Traders that has the balls to post my trades & my face || #bitcoin since 2012 || FT Trader since 2016 || Join: https://t.co/2wTqaMjb7G,6/19/2018 18:42,44421,1864,86648,FALSE,3/4/2023 2:11,"If someone is causing you to have FUD or is signaling you to sell...  unfollow them.

I'll say it again....

The #bitcoin price broke into 21K level. This is the bottom. Buy as much as you can.

We go to 40K.

Reply with ""@RemindMe_OfThis in 1 month"" and make fun of me if wrong.",['bitcoin'],Twitter for Android,FALSE
Bitcoin updates,,"I tweet about the $BTC price every 15 minutes.
Data is retrieved from @binance.

#Bitcoin #BTC

More bots 🤖:
#ETH: @Ethereum8News
#BNB: @BNB8News",1/9/2021 15:26,6904,6,21,FALSE,3/4/2023 2:11,"The $BTC price is at $22,353.61 right now.
🔴 Compared to the last tweet, the price has dropped by $0.1 (0.00%).
🟢 In the last 24 hours the price has increased by $115.6 (0.52%).

#Bitcoin #BTC https://t.co/CYVkotZp8H","['Bitcoin', 'BTC']",Pamboo Crypto,FALSE
Milb0t,The Matrix,"💰 💰
Automated #trading #bitcoin #eth #shitcoin Signals Bot
💰 💰",6/1/2016 0:59,19,1,11,FALSE,3/4/2023 2:11,22560.65 #Bitcoin crossing crossing 1st level lower band. 1m #BuySignal #btc #bitcoin,"['Bitcoin', 'BuySignal', 'btc', 'bitcoin']",MilotArbitrator,FALSE
FlashHacks🌏📡🖥️,World🌍wide,"For all kinds of social media & wallet. Exmps: HACKED, DISABLED, SUSPENDED, OR LOST ACCTS. INBOX📩US FOR RECOVERY #snapchat #socialmedia #gmailhack 24/7",10/9/2020 14:58,761,19,16,FALSE,3/4/2023 2:11,"Inbox me, If you still want your Account Back!!!

I'm available 24/7 for all Hacking Services
#Hack #coinbase #Hacking #bitcoin","['Hack', 'coinbase', 'Hacking', 'bitcoin']",Twitter for iPhone,FALSE
Navid Nassiri,Metaverse,I'm just trying to do my part in making the world a better place. #DeFi #web3 #blockchain #crypto #cryptocurrency #btc #eth #bahai,6/17/2009 15:05,3916,555,325,FALSE,3/4/2023 2:11,GameFi Outpaces DeFi On Polygon – How This Affects MATIC Bulls  https://t.co/swIrEB2owo #crypto #cryptocurrency #blockchain #bitcoin #ethereum #antifud #fightfomo,"['crypto', 'cryptocurrency', 'blockchain', 'bitcoin', 'ethereum', 'antifud', 'fightfomo']",Zapier.com,FALSE
Sioux Falls Bitcoin,"Sioux Falls, SD",#Bitcoin education and consultation. We run a monthly Meetup. #BitcoinOnly.,11/3/2021 20:48,626,1185,524,FALSE,3/4/2023 2:11,"🚨🚨

#Bitcoin #meetup 

March 13, 6 - 9 PM, The Blarney Stone (@BlarneySF)

No specific topic or speaker this month. Come talk about the moronic SD HB 1193, Nostr, or The Current Thing™️ in #BTC","['Bitcoin', 'meetup', 'BTC']",Twitter Web App,FALSE
Live Price Crypto,,"I Tweet the latest #BTC/#ETH/#BNB/#MATIC & #StableCoins price
+Daily/Weekly Technical Indicators 

Live since 20/03/2022

@web3africa1",3/10/2022 14:06,4433,9,24,FALSE,3/4/2023 2:11,"Weekly 🚀

#BTC Last $22345

•Change since Monday 00h00(UTC): -5.14% 🔴
•MACD:
 -MACD Line: -4
 -Signal Line: -1005

#ETH Last $1572

•Change: -4.23% 🔴
•MACD:
 -MACD Line: -5
 -Signal Line: -66

#Blockchain #Token #Bitcoin #Ethereum
(8/17)
463512","['BTC', 'ETH', 'Blockchain', 'Token', 'Bitcoin', 'Ethereum']",vaiotapi,FALSE
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",7/24/2022 4:50,577,1,0,FALSE,3/4/2023 2:11,"#Ethereum price update: 

#ETH $1571.49 USD
#Bitcoin 0.0703268170412606 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,FALSE
5 Minute Crypto,Dubai,"5 Minute Crypto, 6k YouTube. #BTC #ETH #XRP #ADA #SHIB #BNB & More! I am Not A Financial Advisor.",7/24/2022 11:57,3629,37,14,FALSE,3/4/2023 2:11,Would you instead #HODL only #Bitcoin or only #altcoins?,"['HODL', 'Bitcoin', 'altcoins']",LaterMedia,FALSE
Ajay Dhiman,"Kullu and Manali, India","Indian
Do what you love 
Love what you do
Crypto and moutain 
Are lifeline",6/28/2017 19:24,33,122,412,FALSE,3/4/2023 2:11,"Now I am more interested in AI.
#AI #Bitcoin","['AI', 'Bitcoin']",Twitter for Android,FALSE
Cedric Youngelman ⚡️,tinyurl.com/bitcoinonyoutube,Family man. Accounting & finance consultant. Host of The Bitcoin Matrix Podcast @_BitcoinMatrix. npub159xcmvys8az0s5z8whjwr4senal5px6sjgmskvhyq2u0fkwpk2ds0zg2g6,5/12/2009 17:22,20101,7066,101436,FALSE,3/4/2023 2:10,#Bitcoin Facts https://t.co/o9DuYn5009,['Bitcoin'],Twitter for iPhone,FALSE
"Enjo 🥷🏽 (🌋,🌋)",The Ethernet,Web 3 | Blockchain Maximalist | Tacos | Beaches | Ӿ | Buy #Bitcoin,10/1/2015 3:34,763,613,61809,FALSE,3/4/2023 2:10,"Always has been.

#EthereumWasTheTestnet

#BuiltOnBitcoin #Bitcoin #Stacks @Stacks $STX $BTC https://t.co/kFUqaSBKwt","['EthereumWasTheTestnet', 'BuiltOnBitcoin', 'Bitcoin', 'Stacks']",Twitter Web App,FALSE
